序号,经度,纬度,到最近现有站km,热点同址<1km
240,113.465,23.225,0.57,True
241,113.75500000000001,23.275,0.445,True
242,113.56500000000001,23.175,1.088,False
243,113.775,23.215,2.814,False
244,113.56500000000001,23.295,1.746,False
245,113.405,23.235,1.057,False
246,113.545,23.205,0.7,True
247,113.655,23.185,1.314,False
248,113.575,23.215,1.113,False
249,113.595,22.705,4.169,False
250,113.825,23.815,6.687,False
251,113.735,23.195,1.396,False
252,113.58500000000001,22.715,3.601,False
253,113.605,22.695,2.816,False
254,113.08500000000001,23.455,3.948,False
255,113.265,23.285,2.199,False
256,113.185,23.315,2.251,False
257,113.11500000000001,23.465,2.902,False
258,113.275,23.305,1.878,False
259,113.53500000000001,23.405,4.038,False
260,113.44500000000001,23.015,1.94,False
261,113.625,23.305,1.852,False
262,113.375,23.275,2.297,False
263,113.745,23.395,4.739,False
264,113.415,23.225,0.648,True
265,113.39500000000001,23.275,2.597,False
266,113.845,23.425,4.501,False
267,113.47500000000001,23.265,1.676,False
268,113.485,23.215,0.188,True
269,113.58500000000001,22.725,2.933,False
270,113.56500000000001,22.885,4.436,False
271,113.44500000000001,23.495,5.452,False
272,113.53500000000001,22.885,3.451,False
273,113.595,23.205,1.391,False
274,113.67500000000001,23.155,2.487,False
275,113.36500000000001,23.275,1.523,False
