序号,经度,纬度,到最近现有站km,热点同址<1km
221,113.3493429,23.4576217,0.458,True
222,113.6093251,23.3627011,1.768,False
223,113.7708298,23.1832016,1.866,False
224,113.1975711,23.3097053,1.819,False
225,113.4427055,22.8476787,0.594,True
226,113.3031773,23.4851992,1.065,False
227,113.0929084,23.4555815,4.425,False
228,113.5410008,23.2878287,0.764,True
229,113.4531253,22.8312657,1.521,False
230,113.4088572,23.4565848,0.566,True
231,113.4966313,22.7958832,1.855,False
232,113.5189871,22.7178282,1.109,False
233,113.4156308,23.3873192,0.426,True
234,113.1303059,23.3140801,3.474,False
235,113.9127167,23.4946794,3.878,False
236,113.7365262,23.2008635,1.299,False
237,113.2960264,23.4916919,1.986,False
238,113.4423678,22.847671,0.612,True
239,113.4476889,23.5964123,0.703,True
240,113.6580249,23.3355431,3.578,False
241,113.2769363,23.5052941,0.711,True
242,113.4092467,23.4564907,0.525,True
243,113.7338377,23.1983988,1.105,False
244,113.4590905,22.8217404,2.279,False
245,113.6914183,23.3734224,3.98,False
246,113.4340672,23.254057,1.561,False
247,113.5150193,22.7284133,1.044,False
248,113.8558191,23.4210417,3.317,False
249,113.1038388,23.4614176,4.058,False
250,113.3120412,23.4897564,0.673,True
251,113.4529017,22.8318221,1.456,False
252,113.578028,23.3790924,0.527,True
253,113.4972472,23.274654,2.655,False
254,113.3000734,23.5530289,0.635,True
255,114.0267777,23.8650132,4.255,False
256,113.7069936,23.1902031,0.487,True
257,113.4177536,23.6288265,0.633,True
258,113.103779,23.4615187,4.063,False
259,113.5987314,23.3710739,2.219,False
260,113.7887378,23.15423,2.343,False
261,113.4580944,22.8233153,2.194,False
262,113.3438218,23.4627065,1.102,False
263,113.4325424,23.4468244,2.086,False
264,113.4383636,22.8552808,1.318,False
265,113.3433402,23.4856762,1.118,False
266,113.6231819,22.6858868,2.239,False
267,113.1378105,23.3094932,4.304,False
268,113.473706,23.2207087,1.471,False
269,113.7196517,23.301687,3.1,False
270,113.4233987,23.4351993,1.939,False
271,113.741671,23.2233,2.324,False
272,113.5933101,23.3123998,0.463,True
273,113.4901978,22.8009224,2.523,False
274,113.3432221,23.4855753,1.108,False
275,113.4584429,23.5907825,1.955,False
276,113.4897573,22.7281089,1.221,False
277,113.4410512,22.8505705,0.957,True
278,113.5809672,23.3799571,0.789,True
279,113.6777912,22.6102509,4.121,False
280,113.9204355,23.8312991,3.2,False
281,113.6021713,23.3179226,0.63,True
282,113.4385363,23.2543236,1.114,False
283,113.4501348,23.6776793,4.12,False
284,113.8022361,23.411729,1.073,False
285,113.2959164,23.5668076,1.2,False
286,113.4439346,22.8449658,0.276,True
287,113.0564416,23.44343,2.503,False
288,113.301452,23.555517,0.325,True
289,113.704872,23.189209,0.73,True
290,113.4682421,23.4672122,2.544,False
291,113.7571417,23.2501214,2.487,False
292,113.4977184,22.7451493,1.105,False
293,113.5954434,23.3720294,2.143,False
294,113.2990099,23.5826563,2.481,False
295,113.4926415,23.2726694,2.99,False
296,113.1133399,23.4636263,3.074,False
297,113.4606067,22.819291,2.441,False
298,113.5996499,22.7016961,3.667,False
299,113.3270602,23.4904175,0.647,True
300,113.5452863,23.3896985,3.016,False
301,113.865083,23.2016301,1.629,False
302,113.1161209,23.3101078,2.143,False
