类型,station_id,经度,纬度
关闭,A5250LL0A_20-438,113.422402,22.864045
关闭,349861452_GZYY-DXCZ-020-0022,113.400955,23.056268
关闭,313744932_258,113.250529,23.249526
关闭,313744932_429,113.421297,23.200263
关闭,313744932_1294,113.421288,23.20021
关闭,313744932_1807,113.409742,23.168008
关闭,313744932_437,113.409628,23.168003
关闭,313744932_678,113.321523,23.27905
关闭,395815801_4401180003,113.838071,23.298199
关闭,320513112_20-135,113.232696,23.104747
关闭,313744932_2930,113.296408,23.22121
关闭,313744932_1078,113.419499,23.121999
关闭,914401153_JT0057,113.268559,23.174203
关闭,A5250LL0A_20-440,113.771468,23.746001
关闭,914401153_JT0007,113.234613,23.183225
关闭,395815801_4401130048,113.283969,22.895171
关闭,313744932_1661,113.374767,23.128248
关闭,A5250LL0A_20-441,113.771876,23.745853
关闭,395815801_4401110047,113.299993,23.235285
关闭,914401153_JT0107,113.511887,23.130576
关闭,395815801_4401030016,113.210425,23.054544
关闭,MA0019FW4_GZYY-JHDS-020-0012,113.277149,23.241689
关闭,349861452_GZYY-JHDS-020-0012,113.277149,23.241689
关闭,101437000_15473,113.600615,23.538842
关闭,A5250LL0A_20-442,113.773359,23.746491
关闭,395815801_4401050010,113.247515,23.099002
关闭,395815801_4401110020,113.287881,23.337323
关闭,313744932_2591,113.262198,23.21387
关闭,313744932_324,113.383378,22.979239
关闭,395815801_4401050009,113.298798,23.074585
关闭,313744932_1637,113.383413,22.979197
关闭,313744932_383,113.318243,23.145175
关闭,MA5DT8Q54_4401140102,113.214762,23.406903
关闭,395815801_4401110071,113.268373,23.208853
关闭,313744932_191,113.470348,22.879235
关闭,313744932_2219,113.326298,23.021625
关闭,313744932_1478,113.326224,23.021593
关闭,313744932_3220,113.334544,23.099998
关闭,395815801_4401110011,113.264471,23.215755
关闭,313744932_343,113.252281,23.142391
关闭,313744932_2381,113.258199,23.206299
关闭,313744932_11747,113.276038,23.211972
关闭,313744932_1560,113.315597,23.138298
关闭,313744932_2958,113.292777,23.217516
关闭,914401153_JT0017,113.277972,23.215317
关闭,MA59CU773_296207,113.187304,23.148827
关闭,313744932_3034,113.408788,23.226154
关闭,914401153_JT0024,113.260262,23.204926
关闭,914401153_JT0060,113.333275,23.21226
关闭,313744932_2174,113.320358,23.168084
关闭,395815801_4401110048,113.254251,23.172943
关闭,313744932_1869,113.725761,23.700505
关闭,726811355_5410,113.398019,23.169163
关闭,313744932_1310,113.228423,23.166647
关闭,313744932_1943,113.318385,23.145381
关闭,A5250LL0A_20-585,113.228825,23.399894
关闭,395815801_4401060015,113.321568,23.148307
关闭,MA5DT8Q54_4401060495,113.404409,23.193876
关闭,914401153_JT0010,113.251343,23.24875
关闭,395815801_4401060013,113.313816,23.123167
关闭,MA4KUHJ97_NIO24c8697f50932964,113.254285,23.083999
关闭,395815801_4401030006,113.240658,23.093034
关闭,313744932_248,113.576397,23.113475
关闭,313744932_3219,113.250399,23.16308
关闭,914401153_JT0020,113.54766,23.117218
关闭,914401153_11530009,113.266504,23.161455
关闭,914401153_JT0055,113.301245,23.003884
关闭,395815801_4401130051,113.478962,23.052554
关闭,313744932_423,113.253372,23.142502
关闭,313744932_228,113.253273,23.14199
关闭,313744932_1750,113.253265,23.142517
关闭,313744932_1912,113.421746,23.214354
关闭,313744932_1013,113.721929,23.203174
关闭,914401153_JT0028,113.269079,23.081908
关闭,726811355_531,113.332781,22.91815
关闭,101437000_11809,113.18518,23.071715
关闭,395815801_4401170006,113.672094,23.675942
关闭,313744932_456,113.318281,23.14514
关闭,A5250LL0A_20-403,113.571589,23.558578
关闭,313744932_717,113.25199,23.159087
关闭,MA5DT8Q54_4401130569,113.31338,22.935748
关闭,MA5DT8Q54_4401130570,113.31338,22.935748
关闭,313744932_1510,113.362171,23.015499
关闭,395815801_4401060051,113.412474,23.115035
关闭,313744932_1948,113.247051,23.354425
关闭,395815801_4401060014,113.385266,23.140667
关闭,A5250LL0A_20-409,113.568203,23.557297
关闭,MA0019FW4_GZYY-GZYD-020-0018,113.252024,23.052795
关闭,A5250LL0A_20-474,113.567558,23.561679
关闭,395815801_4401130027,113.313315,22.970698
关闭,A5250LL0A_20-414,113.272243,23.444384
关闭,MA5DT8Q54_4401130015,113.489952,22.908283
关闭,MA59CU773_132518,113.37539,23.061639
关闭,MA5DT8Q54_4401130571,113.33526,22.912107
关闭,313744932_1625,113.188127,23.149982
关闭,313744932_2342,113.250047,23.065686
关闭,313744932_3202,113.33876,23.185367
关闭,313744932_2041,113.288212,23.34563
关闭,395815801_4401030015,113.222055,23.098763
关闭,395815801_4401130036,113.304743,23.032679
